-49.8842,-70.2852,-0.0744,-0.1036,0.0011,0.0004,0.0004,0.2053,-0.0858,-0.0573
-49.3842,-70.2563,-0.0751,-0.104,0.0011,0.0004,0.0004,0.2056,-0.0857,-0.058
-48.8842,-70.227,-0.0758,-0.1044,0.0011,0.0004,0.0004,0.2059,-0.0857,-0.0588
-48.3842,-70.1973,-0.0765,-0.1048,0.0011,0.0004,0.0004,0.2062,-0.0857,-0.0596
-47.8842,-70.1672,-0.0772,-0.1053,0.0011,0.0004,0.0004,0.2064,-0.0857,-0.0604
-47.3842,-70.1366,-0.0779,-0.1057,0.0011,0.0004,0.0004,0.2067,-0.0856,-0.0612
-46.8842,-70.1057,-0.0787,-0.1061,0.0011,0.0004,0.0004,0.207,-0.0856,-0.062
-46.3842,-70.0743,-0.0794,-0.1066,0.0011,0.0004,0.0005,0.2073,-0.0856,-0.0629
-45.8842,-70.0425,-0.0802,-0.1071,0.0011,0.0004,0.0005,0.2076,-0.0855,-0.0638
-45.3842,-70.0103,-0.081,-0.1075,0.0011,0.0004,0.0005,0.2079,-0.0855,-0.0647
-44.8842,-69.9776,-0.0818,-0.108,0.0011,0.0004,0.0005,0.2082,-0.0855,-0.0656
-44.3842,-69.9444,-0.0827,-0.1085,0.0011,0.0004,0.0005,0.2085,-0.0855,-0.0666
-43.8842,-69.9107,-0.0835,-0.109,0.0011,0.0004,0.0005,0.2088,-0.0854,-0.0676
-43.3842,-69.8765,-0.0844,-0.1095,0.0011,0.0004,0.0005,0.2091,-0.0854,-0.0686
-42.8842,-69.8418,-0.0853,-0.11,0.0011,0.0004,0.0005,0.2094,-0.0854,-0.0696
-42.3842,-69.8066,-0.0862,-0.1105,0.0011,0.0004,0.0005,0.2097,-0.0854,-0.0707
-41.8842,-69.7708,-0.0871,-0.111,0.0011,0.0004,0.0005,0.21,-0.0853,-0.0718
-41.3842,-69.7345,-0.0881,-0.1115,0.0011,0.0004,0.0005,0.2103,-0.0853,-0.0729
-40.8842,-69.6976,-0.0891,-0.1121,0.0011,0.0004,0.0005,0.2106,-0.0853,-0.074
-40.3842,-69.6601,-0.0901,-0.1126,0.0011,0.0004,0.0005,0.211,-0.0853,-0.0752
-39.8842,-69.622,-0.0911,-0.1132,0.0011,0.0004,0.0005,0.2113,-0.0852,-0.0765
-39.3842,-69.5833,-0.0922,-0.1138,0.0011,0.0004,0.0005,0.2116,-0.0852,-0.0777
-38.8842,-69.5439,-0.0933,-0.1144,0.0011,0.0004,0.0005,0.2119,-0.0852,-0.079
-38.3842,-69.5039,-0.0944,-0.115,0.0011,0.0004,0.0005,0.2122,-0.0851,-0.0803
-37.8842,-69.4632,-0.0956,-0.1156,0.0011,0.0004,0.0005,0.2126,-0.0851,-0.0817
-37.3842,-69.4218,-0.0968,-0.1162,0.0011,0.0004,0.0005,0.2129,-0.0851,-0.0831
-36.8842,-69.3796,-0.098,-0.1168,0.0011,0.0004,0.0005,0.2132,-0.0851,-0.0846
-36.3842,-69.3367,-0.0993,-0.1175,0.0011,0.0004,0.0005,0.2135,-0.085,-0.0861
-35.8842,-69.2931,-0.1006,-0.1181,0.0011,0.0004,0.0005,0.2139,-0.085,-0.0877
-35.3842,-69.2486,-0.1019,-0.1188,0.0011,0.0004,0.0005,0.2142,-0.085,-0.0893
-34.8842,-69.2033,-0.1033,-0.1195,0.0012,0.0004,0.0005,0.2146,-0.0849,-0.091
-34.3842,-69.1572,-0.1048,-0.1202,0.0012,0.0004,0.0005,0.2149,-0.0849,-0.0927
-33.8842,-69.1101,-0.1062,-0.1209,0.0012,0.0004,0.0005,0.2152,-0.0849,-0.0944
-33.3842,-69.0622,-0.1077,-0.1216,0.0012,0.0004,0.0005,0.2156,-0.0848,-0.0963
-32.8842,-69.0133,-0.1093,-0.1224,0.0012,0.0004,0.0005,0.2159,-0.0848,-0.0982
-32.3842,-68.9635,-0.1109,-0.1232,0.0012,0.0004,0.0006,0.2163,-0.0848,-0.1002
-31.8842,-68.9126,-0.1126,-0.124,0.0012,0.0004,0.0006,0.2166,-0.0848,-0.1022
-31.3842,-68.8607,-0.1144,-0.1248,0.0012,0.0004,0.0006,0.217,-0.0847,-0.1043
-30.8842,-68.8076,-0.1162,-0.1256,0.0012,0.0004,0.0006,0.2173,-0.0847,-0.1065
-30.3842,-68.7535,-0.118,-0.1264,0.0012,0.0005,0.0006,0.2177,-0.0847,-0.1088
-29.8842,-68.6982,-0.12,-0.1273,0.0012,0.0005,0.0006,0.218,-0.0846,-0.1112
-29.3842,-68.6416,-0.122,-0.1282,0.0012,0.0005,0.0006,0.2184,-0.0846,-0.1136
-28.8842,-68.5838,-0.1241,-0.1291,0.0012,0.0005,0.0006,0.2187,-0.0846,-0.1162
-28.3842,-68.5247,-0.1262,-0.13,0.0012,0.0005,0.0006,0.2191,-0.0845,-0.1189
-27.8842,-68.4642,-0.1285,-0.131,0.0012,0.0005,0.0006,0.2195,-0.0845,-0.1216
-27.3842,-68.4022,-0.1308,-0.132,0.0012,0.0005,0.0006,0.2198,-0.0844,-0.1245
-26.8842,-68.3388,-0.1333,-0.133,0.0012,0.0005,0.0006,0.2202,-0.0844,-0.1275
-26.3842,-68.2738,-0.1358,-0.1341,0.0012,0.0005,0.0006,0.2206,-0.0844,-0.1307
-25.8842,-68.2072,-0.1385,-0.1351,0.0012,0.0005,0.0006,0.2209,-0.0843,-0.134
-25.3842,-68.1389,-0.1412,-0.1363,0.0012,0.0005,0.0006,0.2213,-0.0843,-0.1374
