0,-70.285,,,,,0
0.10593,-70.285,,,,,
0.21187,-18.094,,,,,
0.3178,-15.691,,,,,
0.50853,-11.799,,,,,
0.69926,-8.2156,,,,,
0.88999,-4.7486,,,,,
0.94721,-3.7237,,,,,
1.0044,-2.7053,,,,,
1.0616,-1.6977,,,,,
1.1189,-0.70442,,,,,
1.3857,3.6408,,,,,
1.6524,7.4603,,,,,
1.9192,10.715,,,,,
2.186,13.439,,,,,
2.686,17.406,,,,,
3.186,20.282,,,,,
3.686,22.421,,,,,
4.186,23.987,,,,,
4.686,25.098,,,,,
5.186,25.85,,,,,
5.686,26.343,,,,,
6.186,26.661,,,,,
6.686,26.869,,,,,
7.186,27.014,,,,,
7.686,27.127,,,,,
8.186,27.228,,,,,
8.686,27.332,,,,,
9.186,27.444,,,,,
9.686,27.569,,,,,
10.186,27.707,,,,,
10.686,27.857,,,,,
11.186,28.018,,,,,
11.686,28.187,,,,,
12.186,28.361,,,,,
12.686,28.536,,,,,
13.186,28.71,,,,,
13.686,28.883,,,,,
14.186,29.051,,,,,
14.686,29.214,,,,,
15.186,29.37,,,,,
15.686,29.518,,,,,
16.186,29.656,,,,,
16.686,29.785,,,,,
17.186,29.902,,,,,
17.686,30.01,,,,,
18.186,30.105,,,,,
18.686,30.191,,,,,
19.186,30.265,,,,,
19.686,30.331,,,,,
20.186,30.387,,,,,
20.686,30.432,,,,,
21.186,30.471,,,,,
21.686,30.501,,,,,
22.186,30.526,,,,,
22.686,30.543,,,,,
23.186,30.558,,,,,
23.686,30.566,,,,,
24.186,30.574,,,,,
24.686,30.577,,,,,
25.186,30.58,,,,,
25.686,30.58,,,,,
26.186,30.581,,,,,
26.686,30.58,,,,,
27.186,30.581,,,,,
27.686,30.581,,,,,
28.186,30.584,,,,,
28.686,30.586,,,,,
29.186,30.592,,,,,
29.686,30.597,,,,,
30.186,30.607,,,,,
30.686,30.616,,,,,
31.186,30.63,,,,,
31.686,30.643,,,,,
32.186,30.663,,,,,
32.686,30.68,,,,,
33.186,30.704,,,,,
33.686,30.726,,,,,
34.186,30.755,,,,,
34.686,30.782,,,,,
35.186,30.815,,,,,
35.686,30.846,,,,,
36.186,30.884,,,,,
36.686,30.918,,,,,
37.186,30.961,,,,,
37.686,30.998,,,,,
38.186,31.045,,,,,
